env_time,Repo,BuildVersion,PackageName,PackageVersion,Branch,Relationship,DataSource
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,System.Security.AccessControl,5.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,System.Security.Principal.Windows,5.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,System.Text.Json,5.0.1,develop,Consumes,/drop_build_postbuild/PublishOutput/DiscoveryServiceCoreDK8S/Microsoft.Intune.ProxyFrontEnd.DiscoveryServiceCoreDK8S.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Bond.Core.CSharp,13.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Bond.CSharp,13.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Bond.Runtime.CSharp,13.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Cloud.InstrumentationFramework,3.5.1.2,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.Binder,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.CommandLine,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.EnvironmentVariables,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.FileExtensions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.Json,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Configuration.UserSecrets,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.DependencyInjection,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.DependencyInjection.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Diagnostics,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Diagnostics.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.FileProviders.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.FileProviders.Composite,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.FileProviders.Physical,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.FileSystemGlobbing,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Hosting,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
2025-07-07T02:36:37.8270039Z,Intune-Svc-ProxyFrontEnd,6.2508.5.0,Microsoft.Extensions.Hosting.Abstractions,8.0.0,develop,Consumes,/drop_build_postbuild/PublishOutput/HealthMonitoringServiceV2/Microsoft.Intune.ProxyFrontEnd.HealthMonitoringServiceV2.deps.json
